Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
531,Max Christiansen\Max-Christiansen,de GER,MF,Ingolstadt 04,de Bundesliga,18,1996,19,12,1031,11.5,0,1,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,Matches
532,Lazaros Christodoulopoulos\Lazaros-Christodoulopoulos,gr GRE,MFFW,Sampdoria,it Serie A,28,1986,10,3,354,3.9,1,0,1,0,0,3,0,0.25,0.00,0.25,0.25,0.25,Matches
533,Lee Chung-yong\Lee-Chung-yong,kr KOR,MF,Crystal Palace,eng Premier League,27,1988,13,4,390,4.3,1,0,1,0,0,0,0,0.23,0.00,0.23,0.23,0.23,Matches
534,Michaël Ciani\Michael-Ciani,fr FRA,DF,Espanyol,es La Liga,31,1984,2,2,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
535,Luca Cigarini\Luca-Cigarini,it ITA,MF,Atalanta,it Serie A,29,1986,25,21,1820,20.2,2,2,1,1,1,10,0,0.10,0.10,0.20,0.05,0.15,Matches
536,Tolga Ci?erci\Tolga-Cigerci,tr TUR,MF,Hertha BSC,de Bundesliga,23,1992,18,13,1028,11.4,0,2,0,0,0,2,0,0.00,0.18,0.18,0.00,0.18,Matches
537,Per Ciljan Skjelbred\Per-Ciljan-Skjelbred,no NOR,MF,Hertha BSC,de Bundesliga,28,1987,31,31,2689,29.9,0,2,0,0,0,9,0,0.00,0.07,0.07,0.00,0.07,Matches
538,Daniel Ciofani\Daniel-Ciofani,it ITA,FW,Frosinone,it Serie A,30,1985,37,33,2908,32.3,9,1,7,2,2,1,0,0.28,0.03,0.31,0.22,0.25,Matches
539,Matteo Ciofani\Matteo-Ciofani,it ITA,DF,Frosinone,it Serie A,27,1988,17,14,1282,14.2,0,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,Matches
540,Thiago Cionek\Thiago-Cionek,pl POL,DF,Palermo,it Serie A,29,1986,5,5,450,5.0,0,1,0,0,0,2,0,0.00,0.20,0.20,0.00,0.20,Matches
541,Gilles Cioni\Gilles-Cioni,fr FRA,DF,Bastia,fr Ligue 1,31,1984,20,17,1587,17.6,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
542,Papiss Cissé\Papiss-Cisse,sn SEN,FW,Newcastle Utd,eng Premier League,30,1985,21,14,1067,11.9,3,0,3,0,0,1,0,0.25,0.00,0.25,0.25,0.25,Matches
543,Aly Cissokho\Aly-Cissokho,fr FRA,DF,Aston Villa,eng Premier League,27,1987,18,18,1603,17.8,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
544,Issa Cissokho\Issa-Cissokho,sn SEN,MF,Genoa,it Serie A,30,1985,13,6,646,7.2,0,1,0,0,0,1,1,0.00,0.14,0.14,0.00,0.14,Matches
545,Renato Civelli\Renato-Civelli,ar ARG,DF,Lille,fr Ligue 1,31,1983,32,32,2762,30.7,0,0,0,0,0,6,2,0.00,0.00,0.00,0.00,0.00,Matches
546,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Aston Villa,eng Premier League,25,1989,18,16,1442,16.0,1,0,1,0,0,6,0,0.06,0.00,0.06,0.06,0.06,Matches
547,Jake Clarke-Salter\Jake-Clarke-Salter,eng ENG,DF,Chelsea,eng Premier League,17,1997,1,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
548,Jordy Clasie\Jordy-Clasie,nl NED,MF,Southampton,eng Premier League,24,1991,22,20,1538,17.1,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
549,Cléber\Cleber,br BRA,DF,Hamburger SV,de Bundesliga,24,1990,23,15,1473,16.4,1,0,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,Matches
550,Christian Clemens\Christian-Clemens,de GER,MF,Mainz 05,de Bundesliga,23,1991,28,20,1718,19.1,5,3,5,0,0,1,0,0.26,0.16,0.42,0.26,0.42,Matches
551,Jérémy Clément\Jeremy-Clement,fr FRA,MF,Saint-Étienne,fr Ligue 1,30,1984,27,25,2221,24.7,0,1,0,0,0,6,0,0.00,0.04,0.04,0.00,0.04,Matches
552,François Clerc\Francois-Clerc,fr FRA,DFMF,Saint-Étienne,fr Ligue 1,32,1983,10,10,871,9.7,0,1,0,0,0,0,0,0.00,0.10,0.10,0.00,0.10,Matches
553,Tom Cleverley\Tom-Cleverley,eng ENG,MF,Everton,eng Premier League,25,1989,22,17,1612,17.9,2,4,2,0,0,1,0,0.11,0.22,0.33,0.11,0.33,Matches
554,Gaël Clichy\Gael-Clichy,fr FRA,DF,Manchester City,eng Premier League,30,1985,14,12,1087,12.1,0,1,0,0,0,0,0,0.00,0.08,0.08,0.00,0.08,Matches
555,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Liverpool,eng Premier League,24,1991,33,33,2970,33.0,1,0,1,0,0,6,0,0.03,0.00,0.03,0.03,0.03,Matches
556,Sebastián Coates\Sebastian-Coates,uy URU,DF,Sunderland,eng Premier League,24,1990,16,14,1229,13.7,0,3,0,0,0,4,0,0.00,0.22,0.22,0.00,0.22,Matches
557,Marcus Coco\Marcus-Coco,fr FRA,MF,Guingamp,fr Ligue 1,19,1996,30,20,1726,19.2,1,2,1,0,0,6,0,0.05,0.10,0.16,0.05,0.16,Matches
558,Andrea Coda\Andrea-Coda,it ITA,DF,Sampdoria,it Serie A,30,1985,4,2,123,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
559,Alexandre Coeff\Alexandre-Coeff,fr FRA,DF,Gazélec Ajaccio,fr Ligue 1,23,1992,24,22,1997,22.2,0,2,0,0,0,5,0,0.00,0.09,0.09,0.00,0.09,Matches
560,Fábio Coentrão\Fabio-Coentrao,pt POR,DFMF,Monaco,fr Ligue 1,27,1988,15,13,1081,12.0,3,2,3,0,0,4,0,0.25,0.17,0.42,0.25,0.42,Matches
561,Isaac Cofie\Isaac-Cofie,gh GHA,MF,Carpi,it Serie A,23,1991,29,26,2149,23.9,0,1,0,0,0,7,0,0.00,0.04,0.04,0.00,0.04,Matches
562,Renaud Cohade\Renaud-Cohade,fr FRA,MF,Saint-Étienne,fr Ligue 1,30,1984,19,14,1143,12.7,0,2,0,0,0,3,0,0.00,0.16,0.16,0.00,0.16,Matches
563,Almog Cohen\Almog-Cohen,il ISR,MF,Ingolstadt 04,de Bundesliga,26,1988,20,8,832,9.2,0,2,0,0,0,2,0,0.00,0.22,0.22,0.00,0.22,Matches
564,Coke\Coke,es ESP,DF,Sevilla,es La Liga,28,1987,21,20,1735,19.3,1,1,1,0,0,3,0,0.05,0.05,0.10,0.05,0.10,Matches
565,Jack Colback\Jack-Colback,eng ENG,MF,Newcastle Utd,eng Premier League,25,1989,29,28,2387,26.5,1,1,1,0,0,11,0,0.04,0.04,0.08,0.04,0.08,Matches
566,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,eng Premier League,26,1988,28,27,2383,26.5,1,3,1,0,0,4,0,0.04,0.11,0.15,0.04,0.15,Matches
567,James Collins\James-Collins,wls WAL,DF,West Ham,eng Premier League,31,1983,19,16,1441,16.0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
568,Fabricio Coloccini\Fabricio-Coloccini,ar ARG,DF,Newcastle Utd,eng Premier League,33,1982,26,26,2292,25.5,1,0,1,0,0,1,1,0.04,0.00,0.04,0.04,0.04,Matches
569,Simone Colombi\Simone-Colombi,it ITA,GK,Carpi,it Serie A,24,1991,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
570,Simone Colombi\Simone-Colombi,it ITA,GK,Palermo,it Serie A,24,1991,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
571,Kingsley Coman\Kingsley-Coman,fr FRA,MFFW,Bayern Munich,de Bundesliga,19,1996,23,20,1685,18.7,4,6,4,0,0,0,0,0.21,0.32,0.53,0.21,0.53,Matches
572,Kingsley Coman\Kingsley-Coman,fr FRA,FW,Juventus,it Serie A,19,1996,1,1,63,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
573,Alois Confais\Alois-Confais,fr FRA,DFMF,Troyes,fr Ligue 1,18,1996,15,13,1208,13.4,0,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,Matches
574,Daniel Congré\Daniel-Congre,fr FRA,DF,Montpellier,fr Ligue 1,30,1985,35,35,3128,34.8,2,0,2,0,0,2,1,0.06,0.00,0.06,0.06,0.06,Matches
575,Callum Connolly\Callum-Connolly,eng ENG,DFMF,Everton,eng Premier League,17,1997,1,0,37,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
576,Andrea Consigli\Andrea-Consigli,it ITA,GK,Sassuolo,it Serie A,28,1987,37,37,3270,36.3,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
577,Kévin Constant\Kevin-Constant,gn GUI,DF,Bologna,it Serie A,28,1987,7,3,281,3.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
578,Antoine Conte\Antoine-Conte,fr FRA,DF,Reims,fr Ligue 1,21,1994,11,11,918,10.2,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
579,Diego Contento\Diego-Contento,de GER,DF,Bordeaux,fr Ligue 1,25,1990,25,24,2113,23.5,2,0,2,0,0,4,0,0.09,0.00,0.09,0.09,0.09,Matches
580,Andrea Conti\Andrea-Conti,it ITA,MFDF,Atalanta,it Serie A,21,1994,14,10,814,9.0,2,1,2,0,0,2,1,0.22,0.11,0.33,0.22,0.33,Matches
581,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,eng Premier League,24,1991,36,36,3195,35.5,4,0,4,0,0,5,0,0.11,0.00,0.11,0.11,0.11,Matches
582,Duje ?op\Duje-Cop,hr CRO,FWMF,Málaga,es La Liga,25,1990,31,25,2030,22.6,7,3,6,1,1,3,0,0.31,0.13,0.44,0.27,0.40,Matches
583,Ferdinando Coppola\Ferdinando-Coppola,it ITA,GK,Hellas Verona,it Serie A,37,1978,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
584,Francis Coquelin\Francis-Coquelin,fr FRA,MF,Arsenal,eng Premier League,24,1991,26,21,1644,18.3,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,Matches
585,Sébastien Corchia\Sebastien-Corchia,fr FRA,DFMF,Lille,fr Ligue 1,24,1990,33,30,2630,29.2,2,2,2,0,0,6,0,0.07,0.07,0.14,0.07,0.14,Matches
586,Jhon Córdoba\Jhon-Cordoba,co COL,FW,Mainz 05,de Bundesliga,22,1993,22,14,1391,15.5,5,2,5,0,0,2,0,0.32,0.13,0.45,0.32,0.45,Matches
587,Benjamin Corgnet\Benjamin-Corgnet,fr FRA,MF,Saint-Étienne,fr Ligue 1,28,1987,16,5,551,6.1,1,1,1,0,0,0,0,0.16,0.16,0.33,0.16,0.33,Matches
588,Jack Cork\Jack-Cork,eng ENG,MF,Swansea City,eng Premier League,26,1989,35,28,2546,28.3,1,2,1,0,0,3,0,0.04,0.07,0.11,0.04,0.11,Matches
589,Maxwel Cornet\Maxwel-Cornet,ci CIV,FWMF,Lyon,fr Ligue 1,18,1996,31,16,1512,16.8,8,1,8,0,0,3,1,0.48,0.06,0.54,0.48,0.54,Matches
590,Quentin Cornette\Quentin-Cornette,fr FRA,MF,Montpellier,fr Ligue 1,21,1994,5,1,150,1.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
591,Imanol Corral\Imanol-Corral,es ESP,DF,Eibar,es La Liga,21,1994,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
592,Ángel Correa\Angel-Correa,ar ARG,MFFW,Atlético Madrid,es La Liga,20,1995,26,8,967,10.7,5,4,5,0,0,7,0,0.47,0.37,0.84,0.47,0.84,Matches
593,Joaquín Correa\Joaquin-Correa,ar ARG,MFFW,Sampdoria,it Serie A,20,1994,25,14,1311,14.6,3,1,3,0,0,6,1,0.21,0.07,0.27,0.21,0.27,Matches
594,Rober Correa\Rober-Correa,es ESP,DF,Espanyol,es La Liga,22,1992,7,5,468,5.2,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
595,Jonathan Correia\Jonathan-Correia,fr FRA,DF,Nice,fr Ligue 1,21,1994,4,2,235,2.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
596,Uroš ?osi?\Uros-Cosic,rs SRB,DF,Empoli,it Serie A,22,1992,9,9,810,9.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
597,Angelo da Costa Júnior\Angelo-da-Costa-Junior,br BRA,GK,Bologna,it Serie A,31,1983,5,5,450,5.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
598,Andrea Costa\Andrea-Costa,it ITA,DF,Empoli,it Serie A,29,1986,24,23,2081,23.1,1,0,1,0,0,4,0,0.04,0.00,0.04,0.04,0.04,Matches
599,Danny da Costa\Danny-da-Costa,de GER,DF,Ingolstadt 04,de Bundesliga,22,1993,20,17,1525,16.9,0,4,0,0,0,4,0,0.00,0.24,0.24,0.00,0.24,Matches
600,Diego Costa\Diego-Costa,es ESP,FW,Chelsea,eng Premier League,26,1988,28,27,2373,26.4,12,6,12,0,0,8,0,0.46,0.23,0.68,0.46,0.68,Matches
601,Douglas Costa\Douglas-Costa,br BRA,MF,Bayern Munich,de Bundesliga,24,1990,27,23,1963,21.8,4,9,4,0,0,1,0,0.18,0.41,0.60,0.18,0.60,Matches
602,Filippo Costa\Filippo-Costa,it ITA,DFMF,Chievo,it Serie A,20,1995,6,0,134,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
603,Hélder Costa\Helder-Costa,pt POR,MFFW,Monaco,fr Ligue 1,21,1994,25,15,1290,14.3,3,2,3,0,0,4,0,0.21,0.14,0.35,0.21,0.35,Matches
604,Jaume Costa\Jaume-Costa,es ESP,DF,Villarreal,es La Liga,27,1988,18,17,1540,17.1,1,0,1,0,0,8,0,0.06,0.00,0.06,0.06,0.06,Matches
605,Ricardo Costa\Ricardo-Costa,pt POR,DF,Granada,es La Liga,34,1981,14,14,1249,13.9,1,0,1,0,0,7,0,0.07,0.00,0.07,0.07,0.07,Matches
606,Tino Costa\Tino-Costa,ar ARG,MF,Fiorentina,it Serie A,30,1985,7,3,289,3.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
607,Tino Costa\Tino-Costa,ar ARG,MF,Genoa,it Serie A,30,1985,12,12,925,10.3,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
608,Benoît Costil\Benoit-Costil,fr FRA,GK,Rennes,fr Ligue 1,28,1987,31,31,2790,31.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
609,Antonio Cotán\Antonio-Cotan,es ESP,MF,Sevilla,es La Liga,19,1995,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
610,Lassana Coulibaly\Lassana-Coulibaly,ml MLI,MF,Bastia,fr Ligue 1,19,1996,15,7,704,7.8,1,0,1,0,0,1,0,0.13,0.00,0.13,0.13,0.13,Matches
611,Yoann Court\Yoann-Court,fr FRA,MFFW,Troyes,fr Ligue 1,25,1990,25,11,958,10.6,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
612,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Chelsea,eng Premier League,23,1992,23,23,2020,22.4,0,0,0,0,0,1,2,0.00,0.00,0.00,0.00,0.00,Matches
613,Philippe Coutinho\Philippe-Coutinho,br BRA,MFFW,Liverpool,eng Premier League,23,1992,26,24,1996,22.2,8,5,8,0,0,3,1,0.36,0.23,0.59,0.36,0.59,Matches
614,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,eng Premier League,25,1989,37,37,3314,36.8,2,4,2,0,0,1,0,0.05,0.11,0.16,0.05,0.16,Matches
615,Marco Crimi\Marco-Crimi,it ITA,MF,Bologna,it Serie A,25,1990,1,1,44,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
616,Marco Crimi\Marco-Crimi,it ITA,MFFW,Carpi,it Serie A,25,1990,19,10,970,10.8,0,1,0,0,0,9,0,0.00,0.09,0.09,0.00,0.09,Matches
617,Lorenzo Crisetig\Lorenzo-Crisetig,it ITA,MF,Bologna,it Serie A,22,1993,5,4,355,3.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
618,Bryan Cristante\Bryan-Cristante,it ITA,MF,Palermo,it Serie A,20,1995,4,1,94,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
619,Sebastián Cristóforo\Sebastian-Cristoforo,uy URU,MF,Sevilla,es La Liga,21,1993,21,17,1440,16.0,0,1,0,0,0,5,0,0.00,0.06,0.06,0.00,0.06,Matches
620,Enzo Crivelli\Enzo-Crivelli,fr FRA,FW,Bordeaux,fr Ligue 1,20,1995,29,15,1531,17.0,3,4,3,0,0,8,1,0.18,0.24,0.41,0.18,0.41,Matches
621,Roberto Crivello\Roberto-Crivello,it ITA,DF,Frosinone,it Serie A,23,1991,17,16,1439,16.0,0,1,0,0,0,5,0,0.00,0.06,0.06,0.00,0.06,Matches
622,Daniele Croce\Daniele-Croce,it ITA,MF,Empoli,it Serie A,32,1982,28,19,1789,19.9,0,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,Matches
623,Peter Crouch\Peter-Crouch,eng ENG,FW,Stoke City,eng Premier League,34,1981,11,4,463,5.1,0,1,0,0,0,0,0,0.00,0.19,0.19,0.00,0.19,Matches
624,Juan Cuadrado\Juan-Cuadrado,co COL,DFFW,Chelsea,eng Premier League,27,1988,1,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
625,Juan Cuadrado\Juan-Cuadrado,co COL,MFFW,Juventus,it Serie A,27,1988,28,16,1724,19.2,4,5,4,0,0,2,0,0.21,0.26,0.47,0.21,0.47,Matches
626,Iván Cuéllar\Ivan-Cuellar,es ESP,GK,Sporting Gijón,es La Liga,31,1984,32,32,2880,32.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
627,Isaac Cuenca\Isaac-Cuenca,es ESP,MFFW,Granada,es La Liga,24,1991,12,8,789,8.8,2,3,2,0,0,0,0,0.23,0.34,0.57,0.23,0.57,Matches
628,Mauricio Cuero\Mauricio-Cuero,co COL,MFFW,Levante,es La Liga,22,1993,13,5,488,5.4,0,1,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,Matches
629,Emmanuel Culio\Emmanuel-Culio,ar ARG,MF,Las Palmas,es La Liga,31,1983,12,6,560,6.2,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
630,Josh Cullen\Josh-Cullen,ie IRL,DFMF,West Ham,eng Premier League,19,1996,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
631,Curro\Curro,es ESP,MF,Sevilla,es La Liga,19,1996,4,3,302,3.4,0,1,0,0,0,3,0,0.00,0.30,0.30,0.00,0.30,Matches
632,Marco D'Alessandro\Marco-DAlessandro,it ITA,FWMF,Atalanta,it Serie A,24,1991,23,11,1152,12.8,3,2,3,0,0,3,0,0.23,0.16,0.39,0.23,0.39,Matches
633,Danilo D'Ambrosio\Danilo-DAmbrosio,it ITA,DFMF,Inter,it Serie A,26,1988,20,18,1616,18.0,2,0,2,0,0,4,1,0.11,0.00,0.11,0.11,0.11,Matches
634,Damien Da Silva\Damien-Da-Silva,fr FRA,DF,Caen,fr Ligue 1,27,1988,28,28,2481,27.6,2,0,2,0,0,4,1,0.07,0.00,0.07,0.07,0.07,Matches
635,Bryan Dabo\Bryan-Dabo,bf BFA,MFDF,Montpellier,fr Ligue 1,23,1992,36,32,2851,31.7,5,1,5,0,0,7,0,0.16,0.03,0.19,0.16,0.19,Matches
636,Mouhamadou Dabo\Mouhamadou-Dabo,fr FRA,DF,Troyes,fr Ligue 1,28,1986,17,14,1061,11.8,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
637,Mahmoud Dahoud\Mahmoud-Dahoud,de GER,MF,M'Gladbach,de Bundesliga,19,1996,32,27,2066,23.0,5,8,5,0,0,4,0,0.22,0.35,0.57,0.22,0.57,Matches
638,Dario Dainelli\Dario-Dainelli,it ITA,DF,Chievo,it Serie A,36,1979,18,15,1378,15.3,1,0,1,0,0,5,0,0.07,0.00,0.07,0.07,0.07,Matches
639,Felipe dal Belo\Felipe-dal-Belo,br BRA,DF,Udinese,it Serie A,31,1984,26,26,2139,23.8,1,1,1,0,0,11,1,0.04,0.04,0.08,0.04,0.08,Matches
640,Leandro Damião\Leandro-Damiao,br BRA,FW,Betis,es La Liga,26,1989,3,1,129,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
641,Gaël Danic\Gael-Danic,fr FRA,MFFW,Bastia,fr Ligue 1,33,1981,37,32,2696,30.0,5,4,4,1,1,7,0,0.17,0.13,0.30,0.13,0.27,Matches
642,Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,eng Premier League,28,1986,37,37,3285,36.5,3,5,1,2,2,2,0,0.08,0.14,0.22,0.03,0.16,Matches
643,Danilo\Danilo,br BRA,DF,Real Madrid,es La Liga,24,1991,24,23,2040,22.7,2,5,2,0,0,6,0,0.09,0.22,0.31,0.09,0.31,Matches
644,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,eng Premier League,28,1987,35,35,3150,35.0,5,1,5,0,0,7,0,0.14,0.03,0.17,0.14,0.17,Matches
645,Dante\Dante,br BRA,DF,Bayern Munich,de Bundesliga,31,1983,1,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
646,Dante\Dante,br BRA,DF,Wolfsburg,de Bundesliga,31,1983,23,23,2065,22.9,1,0,1,0,0,6,2,0.04,0.00,0.04,0.04,0.04,Matches
647,Romain Danzé\Romain-Danze,fr FRA,DF,Rennes,fr Ligue 1,29,1986,21,19,1612,17.9,0,3,0,0,0,3,0,0.00,0.17,0.17,0.00,0.17,Matches
648,Fabio Daprelà\Fabio-Daprela,ch SUI,DFMF,Carpi,it Serie A,24,1991,2,0,62,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
649,Fabio Daprelà\Fabio-Daprela,ch SUI,MF,Palermo,it Serie A,24,1991,5,1,154,1.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
650,Stéphane Darbion\Stephane-Darbion,fr FRA,MF,Troyes,fr Ligue 1,31,1984,26,18,1654,18.4,1,2,1,0,0,3,1,0.05,0.11,0.16,0.05,0.16,Matches
651,Sergi Darder\Sergi-Darder,es ESP,MF,Málaga,es La Liga,21,1993,1,1,83,0.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
652,Sergi Darder\Sergi-Darder,es ESP,MF,Lyon,fr Ligue 1,21,1993,26,18,1477,16.4,2,1,2,0,0,1,0,0.12,0.06,0.18,0.12,0.18,Matches
653,Vladimír Darida\Vladimir-Darida,cz CZE,MF,Hertha BSC,de Bundesliga,24,1990,31,30,2589,28.8,5,2,5,0,0,6,0,0.17,0.07,0.24,0.17,0.24,Matches
654,Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,24,1990,9,9,810,9.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
655,Matteo Darmian\Matteo-Darmian,it ITA,DF,Manchester Utd,eng Premier League,25,1989,28,24,1924,21.4,1,0,1,0,0,8,0,0.05,0.00,0.05,0.05,0.05,Matches
656,Ben Davies\Ben-Davies,wls WAL,DF,Tottenham,eng Premier League,22,1993,17,14,1291,14.3,0,2,0,0,0,3,0,0.00,0.14,0.14,0.00,0.14,Matches
657,Tom Davies\Tom-Davies,eng ENG,FW,Everton,eng Premier League,17,1998,2,1,98,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
658,Kelvin Davis\Kelvin-Davis,eng ENG,GK,Southampton,eng Premier League,38,1976,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
659,Steven Davis\Steven-Davis,nir NIR,MF,Southampton,eng Premier League,30,1985,34,31,2602,28.9,5,3,5,0,0,4,0,0.17,0.10,0.28,0.17,0.28,Matches
660,Craig Dawson\Craig-Dawson,eng ENG,DF,West Brom,eng Premier League,25,1990,38,38,3384,37.6,4,0,4,0,0,3,0,0.11,0.00,0.11,0.11,0.11,Matches
661,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Wolfsburg,de Bundesliga,24,1991,2,2,164,1.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
662,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,eng Premier League,24,1991,25,22,2002,22.2,7,9,7,0,0,2,0,0.31,0.40,0.72,0.31,0.72,Matches
663,Paolo De Ceglie\Paolo-De-Ceglie,it ITA,DF,Marseille,fr Ligue 1,28,1986,7,3,305,3.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
664,Ritchie De Laet\Ritchie-De-Laet,be BEL,DF,Leicester City,eng Premier League,26,1988,12,7,657,7.3,1,0,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,Matches
665,Sebastien De Maio\Sebastien-De-Maio,fr FRA,DF,Genoa,it Serie A,28,1987,28,25,2234,24.8,1,1,1,0,0,6,1,0.04,0.04,0.08,0.04,0.08,Matches
666,Rodrigo De Paul\Rodrigo-De-Paul,ar ARG,MFFW,Valencia,es La Liga,21,1994,9,6,520,5.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
667,Nill De Pauw\Nill-De-Pauw,cd COD,MF,Guingamp,fr Ligue 1,25,1990,13,3,365,4.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
668,Daniele De Rossi\Daniele-De-Rossi,it ITA,MFDF,Roma,it Serie A,32,1983,24,23,1905,21.2,1,2,1,0,0,9,0,0.05,0.09,0.14,0.05,0.14,Matches
669,Morgan De Sanctis\Morgan-De-Sanctis,it ITA,GK,Roma,it Serie A,38,1977,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
670,Mattia De Sciglio\Mattia-De-Sciglio,it ITA,DF,Milan,it Serie A,22,1992,22,21,1840,20.4,0,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,Matches
671,Lorenzo De Silvestri\Lorenzo-De-Silvestri,it ITA,MFDF,Sampdoria,it Serie A,27,1988,17,17,1392,15.5,1,2,1,0,0,4,0,0.06,0.13,0.19,0.06,0.19,Matches
672,Lucas Deaux\Lucas-Deaux,fr FRA,MFDF,Nantes,fr Ligue 1,26,1988,16,13,1184,13.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
673,Mathieu Debuchy\Mathieu-Debuchy,fr FRA,DF,Bordeaux,fr Ligue 1,30,1985,9,9,780,8.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
